run,rewards,policy
0,389.6547032,"{'1': [0.2, 1.0], '2': [0.4, 0.0], '3': [1.0, 0.4], '4': [0.4, 0.6], '5': [0.2, 0.8]}"
1,491.378931,"{'1': [0.2, 1.0], '2': [0.2, 0.4], '3': [0.2, 0.8], '4': [0.6000000000000001, 0.2], '5': [0.0, 0.4]}"
2,332.254566,"{'1': [0.2, 1.0], '2': [0.8, 0.4], '3': [1.0, 0.0], '4': [0.8, 0.4], '5': [0.2, 0.0]}"
3,516.8122635,"{'1': [0.2, 1.0], '2': [0.4, 0.8], '3': [0.0, 0.4], '4': [0.2, 0.8], '5': [0.0, 0.2]}"
4,386.6080927,"{'1': [0.2, 1.0], '2': [1.0, 0.4], '3': [0.0, 0.6], '4': [0.6, 0.8], '5': [0.0, 0.2]}"
5,468.4711958,"{'1': [0.2, 1.0], '2': [1.0, 0.2], '3': [0.6, 1.0], '4': [1.0, 0.6], '5': [0.2, 0.4]}"
6,357.6902233,"{'1': [0.2, 1.0], '2': [1.0, 0.2], '3': [0.8, 0.0], '4': [0.6, 0.2], '5': [0.4, 0.6]}"
7,335.1716842,"{'1': [0.2, 1.0], '2': [0.8, 0.0], '3': [0.4, 0.2], '4': [1.0, 0.4], '5': [0.6, 0.2]}"
8,453.4497422,"{'1': [0.2, 1.0], '2': [0.4, 0.2], '3': [0.6, 1.0], '4': [0.4, 0.2], '5': [0.2, 0.6]}"
9,355.6789754,"{'1': [0.2, 1.0], '2': [0.6000000000000001, 0.6000000000000001], '3': [0.8, 0.0], '4': [0.0, 0.4], '5': [0.8, 0.2]}"
,408.7170377,
