run,rewards,policy
0,212.4602467,"{'1': [0.0, 0.8], '2': [1.0, 0.2], '3': [0.6, 0.8], '4': [1.0, 0.6], '5': [0.0, 0.2]}"
1,277.7442558,"{'1': [0.0, 0.8], '2': [0.6, 0.2], '3': [0.8, 0.6], '4': [0.0, 0.6], '5': [0.0, 0.4]}"
2,333.0872356,"{'1': [0.0, 0.8], '2': [0.4, 0.0], '3': [0.6000000000000001, 0.4], '4': [0.0, 0.4], '5': [0.6000000000000001, 0.0]}"
3,370.959011,"{'1': [0.0, 0.8], '2': [0.8, 0.0], '3': [0.0, 0.0], '4': [0.0, 0.8], '5': [0.6, 0.0]}"
4,249.6148355,"{'1': [0.0, 1.0], '2': [0.2, 0.8], '3': [1.0, 0.4], '4': [0.2, 0.6], '5': [0.8, 0.4]}"
5,258.2267537,"{'1': [0.0, 0.8], '2': [0.4, 1.0], '3': [1.0, 0.2], '4': [0.4, 1.0], '5': [0.8, 0.0]}"
6,420.9881884,"{'1': [0.0, 0.8], '2': [1.0, 0.2], '3': [0.2, 0.8], '4': [1.0, 0.0], '5': [0.4, 0.8]}"
7,300.2184617,"{'1': [0.0, 0.8], '2': [0.0, 0.6000000000000001], '3': [0.6000000000000001, 0.2], '4': [0.2, 0.2], '5': [0.0, 0.2]}"
8,265.2168165,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.0, 0.2], '4': [0.8, 0.4], '5': [0.6, 0.0]}"
9,233.094447,"{'1': [0.0, 0.8], '2': [0.8, 0.0], '3': [0.0, 0.4], '4': [0.8, 0.2], '5': [0.0, 0.0]}"
,271.4805362,
