run,rewards,policy
0,472.013655,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.0, 0.2], '4': [0.6, 0.0], '5': [0.4, 0.4]}"
1,415.4263472,"{'1': [0.2, 1.0], '2': [0.4, 0.2], '3': [0.2, 0.4], '4': [0.4, 0.2], '5': [0.2, 0.6000000000000001]}"
2,440.03789,"{'1': [0.2, 1.0], '2': [1.0, 0.8], '3': [0.6, 0.2], '4': [0.2, 0.4], '5': [0.0, 0.2]}"
3,335.3437945,"{'1': [0.2, 1.0], '2': [0.4, 0.6], '3': [0.6, 0.2], '4': [0.4, 0.8], '5': [0.8, 0.0]}"
4,532.4907109,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.4, 0.4], '4': [0.2, 0.6], '5': [0.0, 0.4]}"
5,483.5078062,"{'1': [0.2, 1.0], '2': [0.8, 0.4], '3': [0.2, 0.6], '4': [1.0, 0.2], '5': [0.2, 0.4]}"
6,375.3196392,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.2, 0.2], '4': [0.4, 0.2], '5': [0.4, 0.0]}"
7,365.2325748,"{'1': [0.2, 1.0], '2': [0.2, 0.2], '3': [0.0, 0.2], '4': [0.0, 0.8], '5': [0.0, 0.8]}"
8,507.4629276,"{'1': [0.2, 1.0], '2': [0.2, 0.2], '3': [0.6000000000000001, 0.6000000000000001], '4': [0.2, 0.2], '5': [0.0, 0.4]}"
9,347.8528903,"{'1': [0.2, 1.0], '2': [1.0, 0.4], '3': [0.6, 0.2], '4': [0.2, 0.4], '5': [0.0, 0.8]}"
,427.7321186,
