run,rewards,policy
0,563.8371337,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.0, 0.8], '4': [1.0, 0.0], '5': [0.0, 0.8]}"
1,293.4951809,"{'1': [0.0, 0.8], '2': [0.2, 1.0], '3': [0.6, 0.0], '4': [0.0, 1.0], '5': [1.0, 0.6]}"
2,308.837485,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.8, 0.2], '4': [0.2, 0.8], '5': [0.6, 0.2]}"
3,310.8509168,"{'1': [0.0, 0.8], '2': [0.2, 0.0], '3': [0.0, 0.8], '4': [0.6000000000000001, 0.6000000000000001], '5': [0.0, 0.8]}"
4,294.7302579,"{'1': [0.0, 0.8], '2': [0.4, 0.4], '3': [0.8, 0.0], '4': [0.2, 0.8], '5': [0.8, 0.6]}"
5,225.8735331,"{'1': [0.0, 0.8], '2': [0.8, 0.6], '3': [0.6, 0.0], '4': [0.4, 1.0], '5': [0.2, 0.4]}"
6,340.5666238,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.2, 1.0], '4': [0.4, 0.8], '5': [0.2, 0.6]}"
7,267.0957184,"{'1': [0.0, 0.8], '2': [0.0, 0.8], '3': [0.8, 0.4], '4': [0.0, 0.2], '5': [0.6, 0.4]}"
8,213.5686462,"{'1': [0.0, 0.8], '2': [0.6000000000000001, 0.2], '3': [0.2, 0.8], '4': [0.8, 0.2], '5': [0.8, 0.2]}"
9,285.2825704,"{'1': [0.0, 0.8], '2': [0.4, 0.0], '3': [1.0, 0.2], '4': [0.8, 1.0], '5': [0.4, 0.0]}"
,294.1127194,
