run,rewards,policy
0,346.9657093,"{'1': [0.2, 1.0], '2': [0.4, 0.6], '3': [0.0, 0.2], '4': [0.6, 0.8], '5': [0.8, 0.2]}"
1,342.9488497,"{'1': [0.2, 1.0], '2': [0.8, 0.0], '3': [0.2, 0.4], '4': [1.0, 0.6], '5': [0.2, 0.0]}"
2,361.729951,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.2, 0.0], '4': [0.6000000000000001, 0.6000000000000001], '5': [0.2, 0.6000000000000001]}"
3,362.0621531,"{'1': [0.2, 1.0], '2': [0.8, 0.4], '3': [0.6000000000000001, 0.4], '4': [0.6000000000000001, 0.2], '5': [0.4, 0.4]}"
4,488.9270052,"{'1': [0.2, 1.0], '2': [0.4, 0.6], '3': [1.0, 0.2], '4': [0.4, 0.0], '5': [0.2, 0.4]}"
5,123.38512,"{'1': [0.0, 0.2], '2': [0.0, 0.0], '3': [0.0, 0.0], '4': [0.2, 0.8], '5': [0.0, 0.2]}"
6,534.4568293,"{'1': [0.2, 1.0], '2': [0.0, 0.4], '3': [0.6000000000000001, 0.6000000000000001], '4': [0.6000000000000001, 0.0], '5': [0.0, 0.4]}"
7,348.0724724,"{'1': [0.2, 1.0], '2': [0.0, 0.6000000000000001], '3': [0.6000000000000001, 0.6000000000000001], '4': [0.8, 0.2], '5': [0.0, 0.0]}"
8,318.3333375,"{'1': [0.2, 1.0], '2': [0.4, 0.4], '3': [0.8, 0.6000000000000001], '4': [0.2, 0.6000000000000001], '5': [0.4, 0.4]}"
9,383.6924714,"{'1': [0.2, 1.0], '2': [0.6000000000000001, 0.2], '3': [0.6000000000000001, 0.8], '4': [0.4, 0.6000000000000001], '5': [0.0, 0.2]}"
,354.9012117,
