run,rewards,policy
0,239.4990606,"{'1': [0.0, 0.8], '2': [0.4, 0.2], '3': [0.0, 0.2], '4': [0.6000000000000001, 0.8], '5': [0.0, 0.4]}"
1,341.8607662,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.2, 0.6], '4': [0.0, 0.4], '5': [0.6, 0.4]}"
2,351.4506537,"{'1': [0.0, 0.8], '2': [0.4, 0.0], '3': [0.0, 0.8], '4': [1.0, 0.0], '5': [0.2, 0.4]}"
3,292.4552373,"{'1': [0.0, 0.8], '2': [0.6000000000000001, 0.2], '3': [0.2, 0.6000000000000001], '4': [0.0, 0.4], '5': [0.6000000000000001, 0.2]}"
4,360.447047,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.4, 1.0], '4': [0.8, 0.4], '5': [0.0, 0.4]}"
5,377.639703,"{'1': [0.0, 0.8], '2': [0.6000000000000001, 0.2], '3': [0.6000000000000001, 0.0], '4': [0.8, 0.4], '5': [0.8, 0.6000000000000001]}"
6,249.3477572,"{'1': [0.0, 0.8], '2': [0.8, 0.2], '3': [0.6, 0.0], '4': [0.2, 0.4], '5': [0.8, 0.2]}"
7,237.4202914,"{'1': [0.0, 0.8], '2': [0.6, 0.2], '3': [0.4, 0.8], '4': [1.0, 0.4], '5': [0.0, 0.6]}"
8,240.5334412,"{'1': [0.0, 0.8], '2': [1.0, 0.2], '3': [1.0, 0.6], '4': [0.0, 0.2], '5': [0.2, 0.4]}"
9,394.3167781,"{'1': [0.0, 0.8], '2': [0.0, 0.6], '3': [1.0, 0.0], '4': [0.0, 1.0], '5': [0.6, 0.4]}"
,317.1580017,
