run,rewards,policy
0,251.7290978,"{'1': [0.0, 0.8], '2': [0.6, 1.0], '3': [1.0, 0.2], '4': [0.0, 0.6], '5': [0.6, 0.2]}"
1,208.767369,"{'1': [0.0, 0.8], '2': [0.6, 0.4], '3': [0.8, 0.0], '4': [0.6, 0.0], '5': [0.0, 0.6]}"
2,357.9095956,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.4, 1.0], '4': [0.4, 0.0], '5': [0.0, 0.6]}"
3,259.9202655,"{'1': [0.0, 0.8], '2': [0.6, 1.0], '3': [0.8, 0.0], '4': [0.0, 0.8], '5': [0.2, 0.8]}"
4,265.3573761,"{'1': [0.0, 0.8], '2': [0.6, 0.8], '3': [0.8, 0.2], '4': [0.0, 0.8], '5': [0.6, 0.6]}"
5,311.5487153,"{'1': [0.0, 0.8], '2': [0.8, 0.4], '3': [0.0, 1.0], '4': [1.0, 0.0], '5': [0.8, 0.4]}"
6,266.3110302,"{'1': [0.0, 0.8], '2': [1.0, 0.0], '3': [0.0, 0.2], '4': [1.0, 0.8], '5': [1.0, 0.0]}"
7,277.8134329,"{'1': [0.0, 0.8], '2': [0.8, 0.0], '3': [0.0, 0.8], '4': [0.4, 0.6], '5': [0.0, 0.6]}"
8,265.9995265,"{'1': [0.0, 0.8], '2': [0.4, 0.0], '3': [0.6000000000000001, 0.0], '4': [0.2, 0.8], '5': [0.0, 0.6000000000000001]}"
9,198.9852786,"{'1': [0.0, 0.8], '2': [1.0, 0.4], '3': [1.0, 0.8], '4': [0.6, 0.0], '5': [1.0, 0.4]}"
,265.6784513,
