run,rewards,policy
0,334.8913125464564,"{'1': [0.2, 1.0], '2': [0.6, 0.3], '3': [0.7, 0.3], '4': [0.1, 0.4], '5': [0.3, 0.0]}"
1,376.03365143769173,"{'1': [0.2, 1.0], '2': [0.3, 0.8], '3': [0.9, 0.5], '4': [0.4, 1.0], '5': [0.4, 0.2]}"
2,339.65699480909103,"{'1': [0.2, 1.0], '2': [0.1, 1.0], '3': [0.3, 0.0], '4': [0.0, 0.5], '5': [0.6, 0.9]}"
3,433.08109996025354,"{'1': [0.2, 1.0], '2': [0.9, 0.4], '3': [0.1, 1.0], '4': [0.9, 0.5], '5': [0.2, 0.6]}"
4,468.2513274349753,"{'1': [0.2, 1.0], '2': [0.5, 0.2], '3': [0.3, 1.0], '4': [0.0, 0.7], '5': [0.2, 0.5]}"
5,361.6886899492794,"{'1': [0.2, 1.0], '2': [0.0, 0.8], '3': [0.6, 0.1], '4': [0.1, 0.7], '5': [0.2, 0.4]}"
6,525.6449502785179,"{'1': [0.2, 1.0], '2': [0.9, 0.6], '3': [0.7, 0.2], '4': [0.7, 0.3], '5': [0.0, 0.5]}"
7,335.2653750140363,"{'1': [0.2, 1.0], '2': [0.1, 0.5], '3': [0.3, 0.9], '4': [0.8, 0.2], '5': [0.1, 0.8]}"
8,526.7623245936666,"{'1': [0.2, 1.0], '2': [0.8, 0.3], '3': [0.6, 0.9], '4': [0.8, 0.4], '5': [0.1, 0.5]}"
9,359.20341595146914,"{'1': [0.2, 1.0], '2': [1.0, 0.2], '3': [0.7, 0.0], '4': [0.9, 0.6], '5': [0.3, 0.9]}"
