run,rewards,policy
0,441.0254565,"{'1': [0.2, 1.0], '2': [0.0, 0.2], '3': [0.0, 0.8], '4': [0.4, 0.0], '5': [0.2, 0.6]}"
1,321.7720793,"{'1': [0.2, 1], '2': [0.2, 0.4], '3': [0.8, 0.2], '4': [0.8, 0.4], '5': [0.6000000000000001, 0.4]}"
2,414.9420837,"{'1': [0.2, 1.0], '2': [1.0, 0.4], '3': [0.2, 0.8], '4': [1.0, 0.2], '5': [0.0, 0.2]}"
3,316.3587231,"{'1': [0.2, 1], '2': [0.2, 0.6000000000000001], '3': [0.6000000000000001, 0.2], '4': [0.6000000000000001, 0.4], '5': [0.4, 0.6000000000000001]}"
4,482.1595047,"{'1': [0.2, 1.0], '2': [0.2, 0.8], '3': [0.4, 0.6], '4': [1.0, 0.0], '5': [0.0, 0.6]}"
5,360.3025952,"{'1': [0.2, 1.0], '2': [0.0, 0.6], '3': [0.6, 0.0], '4': [0.2, 1.0], '5': [1.0, 0.8]}"
6,343.2020396,"{'1': [0.2, 1], '2': [0.0, 0.6000000000000001], '3': [0.4, 0.6000000000000001], '4': [0.8, 0.6000000000000001], '5': [0.0, 0.0]}"
7,501.5857761,"{'1': [0.2, 1], '2': [0.4, 0.2], '3': [0.6000000000000001, 0.0], '4': [0.6000000000000001, 0.0], '5': [0.0, 0.4]}"
8,525.9571261,"{'1': [0.2, 1.0], '2': [0.0, 0.0], '3': [0.6, 0.6], '4': [0.0, 0.8], '5': [0.0, 0.4]}"
9,333.8049548,"{'1': [0.2, 1.0], '2': [0.6, 0.0], '3': [0.4, 0.4], '4': [0.6, 0.0], '5': [0.4, 0.8]}"
,387.6223394,
