run,rewards,policy
0,492.4495618060854,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
1,499.24960841798054,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
2,506.8516189993861,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
3,505.7319684892628,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
4,514.0999488983888,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
5,500.59712230627775,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
6,507.386137475181,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
7,502.1731186021635,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
8,488.50973434343257,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
9,499.861801701992,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
