run,rewards,policy
0,507.0160872391367,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
1,494.0196297799664,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
2,514.868762261919,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
3,505.24090978870584,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
4,500.033159949107,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
5,507.7185805869607,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
6,504.3749962699788,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
7,500.390464549822,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
8,501.049587733395,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
9,500.60569229082785,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [1, 1]}"
